lat,lng,name,source,osm_type,osm_id
50.134063,19.406269,,osm,way,132676677
50.448292,22.395623,,osm,way,132917608
50.394649,19.955889,,osm,way,132962104
50.387762,19.761513,,osm,way,132962106
52.377988,16.967189,,osm,way,133028932
52.380803,16.969823,,osm,way,133089507
50.262459,19.571805,,osm,way,133651421
52.329952,20.958728,,osm,way,134926867
51.020734,16.909197,,osm,way,135046430
50.42216,18.922942,,osm,way,135154543
51.137173,16.954402,,osm,way,136508424
52.169815,20.814602,"Hala Sportowa Znicz",osm,way,136596176
52.274492,21.060639,,osm,way,136727927
54.595547,18.344097,,osm,way,137088914
51.112806,20.866707,,osm,way,137145648
52.101631,21.052419,,osm,way,138209870
54.597569,18.361208,,osm,way,138712938
51.581519,21.548286,,osm,way,138739788
51.581692,21.548439,,osm,way,138739798
53.5318,16.014557,,osm,way,139322332
50.700269,15.999138,,osm,way,139348834
51.227192,18.559812,,osm,way,139615964
50.140923,19.421012,,osm,way,140391317
51.896847,19.605046,,osm,way,141627917
54.420843,18.567148,,osm,way,142157470
54.438738,18.561434,,osm,way,142660278
50.314724,19.072239,,osm,way,142716983
52.707269,16.382891,,osm,way,142842784
52.237563,21.109577,,osm,way,142949961
50.849575,15.60724,,osm,way,143296092
51.655474,19.370753,,osm,way,143298857
53.753199,20.457474,,osm,way,143343560
53.754673,20.456469,,osm,way,143343561
50.046595,19.921867,,osm,way,144449359
52.244536,20.913821,,osm,way,145006463
53.992991,22.77952,,osm,way,145028394
52.517993,21.618921,,osm,way,145577135
50.726308,23.244948,,osm,way,146183612
52.28933,20.937217,,osm,way,146606135
52.28923,20.937417,,osm,way,146606173
52.293929,20.937417,,osm,way,146609549
50.210326,19.252829,,osm,way,147280072
53.463209,18.772231,,osm,way,147457037
53.461386,18.773848,,osm,way,147457040
53.463447,18.772449,,osm,way,147457044
53.46572,18.773216,,osm,way,147465895
53.466841,18.769513,,osm,way,147489437
